Feature,XGBoost_Builtin_Importance,Mean_Abs_SHAP
MARRIAGE,0.07640501,0.3571422
PAY_0,0.1338352,0.34018815
LIMIT_BAL,0.021345153,0.32677785
SEX,0.094251,0.29395407
BILL_AMT1,0.01997721,0.27516854
PAY_2,0.17606966,0.23090997
PAY_AMT1,0.020718787,0.22025965
EDUCATION,0.040337726,0.21972798
BILL_AMT5,0.01318945,0.1789711
PAY_AMT2,0.020233154,0.17400791
PAY_AMT3,0.018523647,0.17211212
PAY_AMT6,0.016568765,0.16600777
PAY_AMT4,0.01482934,0.15786214
PAY_AMT5,0.01574423,0.14510569
PAY_3,0.087748654,0.12816074
AGE,0.012732556,0.11546536
BILL_AMT4,0.014709249,0.10823627
PAY_4,0.062225685,0.10805062
BILL_AMT2,0.014846711,0.10722638
BILL_AMT3,0.014131721,0.08789488
BILL_AMT6,0.0123350015,0.08641262
PAY_6,0.03918536,0.07982028
PAY_5,0.060056783,0.07580861
