False_Positive_Rate,True_Positive_Rate
0.0,0.0
0.00014267370523612499,0.004018081366147665
0.00042802111570837496,0.007031642390758413
0.0007133685261806249,0.009542943244600702
0.0007133685261806249,0.013561024610748368
0.0008560422314167499,0.015067805123053743
0.0008560422314167499,0.0155700652938222
0.000998715936652875,0.02109492717227524
0.0018547581680696248,0.025615268709191362
0.0021401055785418748,0.026619789050728277
0.0025681266942502497,0.030135610246107485
0.0028534741047224997,0.03365143144148669
0.0029961478099586247,0.03365143144148669
0.0035668426309031246,0.03817177297840281
0.0044228848623198746,0.04470115519839277
0.0044228848623198746,0.045203415369161226
0.0048509059780282495,0.04922149673530889
0.0049935796832643745,0.04922149673530889
0.006277643030389499,0.0562531391260673
0.006277643030389499,0.05675539929683576
0.007133685261806249,0.06428930185836264
0.008417748608931373,0.07332998493219488
0.009416464545584249,0.07885484681064792
0.009559138250820373,0.07885484681064792
0.010985875303181623,0.08789552988448016
0.011128549008417749,0.08789552988448016
0.012555286060778999,0.10246107483676545
0.012697959766015123,0.10246107483676545
0.014124696818376373,0.11300853842290307
0.014267370523612499,0.11300853842290307
0.016407476102154372,0.1245605223505776
0.017691539449279498,0.13962832747363135
0.019546297617349124,0.1486690105474636
0.022970466543016124,0.16122551481667505
0.023113140248252246,0.16122551481667505
0.025823940647738623,0.17327975891511804
0.027536025110572123,0.18483174284279258
0.027678698815808245,0.18483174284279258
0.031673562562419745,0.19789050728277247
0.031958909972892,0.19789050728277247
0.03452703666714225,0.21145153189352084
0.03680981595092025,0.22551481667503767
0.03923526893993437,0.2415871421396283
0.042088743044656866,0.2551481667503767
0.04237409045512912,0.2551481667503767
0.04494221714937937,0.26670015067805125
0.04822371236981025,0.2777498744349573
0.04822371236981025,0.2782521346057258
0.05321729205307462,0.29080863887493724
0.05649878727350549,0.30838774485183323
0.05664146097874162,0.30838774485183323
0.060636324725353116,0.3214465092918132
0.06420316735625624,0.3329984932194877
0.06834070480810386,0.34304369663485684
0.06834070480810386,0.34354595680562533
0.07233556855471536,0.3545956805625314
0.07247824225995149,0.3545956805625314
0.0759024111856185,0.36715218483174283
0.0759024111856185,0.3676544450025113
0.07604508489085461,0.3676544450025113
0.08061064345841061,0.37870416875941737
0.08089599086888287,0.37870416875941737
0.08631759166785562,0.389251632345555
0.08631759166785562,0.3897538925163235
0.09045512911970324,0.40281265695630336
0.09573405621343986,0.4143646408839779
0.09573405621343986,0.4148669010547464
0.10158367812812098,0.42692114515318935
0.10158367812812098,0.4274234053239578
0.10786132115851049,0.43696634856855854
0.10786132115851049,0.43746860873932697
0.11328292195748324,0.45203415369161226
0.11699243829362249,0.4635861376192868
0.11699243829362249,0.46408839779005523
0.1234127550292481,0.47513812154696133
0.12369810243972036,0.47513812154696133
0.13040376658581823,0.48468106479156203
0.13054644029105436,0.48468106479156203
0.13839349407904122,0.49522852837769965
0.13853616778427735,0.49522852837769965
0.14638322157226424,0.5052737317930688
0.14638322157226424,0.5062782521346058
0.14652589527750035,0.5062782521346058
0.15608503352832073,0.5143144148669011
0.16350406620059924,0.5243596182822702
0.16364673990583536,0.5243596182822702
0.16992438293622486,0.5339025615268709
0.170067056641461,0.5339025615268709
0.170067056641461,0.5344048216976394
0.17948352118704522,0.5454545454545454
0.17976886859751748,0.5454545454545454
0.1879012697959766,0.55700652938222
0.1879012697959766,0.5580110497237569
0.18804394350121273,0.5580110497237569
0.19660436581538024,0.569060773480663
0.19660436581538024,0.5695630336514315
0.20701954629761735,0.5816172777498745
0.21829076901127123,0.5891511803114013
0.21829076901127123,0.5896534404821697
0.22742188614638323,0.5991963837267704
0.22742188614638323,0.5996986438975389
0.22756455985161936,0.5996986438975389
0.23797974033385647,0.6147664490205926
0.24739620487944072,0.6253139126067303
0.24753887858467685,0.6253139126067303
0.2582394064773862,0.6378704168759417
0.2730774718219432,0.6504269211451532
0.28919960051362537,0.6664992466097438
0.30303894992152947,0.6750376695128076
0.30303894992152947,0.6755399296835761
0.3031816236267656,0.6755399296835761
0.32073048937080895,0.6880964339527875
0.32073048937080895,0.6891009542943245
0.33670994435725493,0.6971371170266197
0.33685261806249106,0.6971371170266197
0.33685261806249106,0.6976393771973882
0.3369952917677272,0.6976393771973882
0.35611356826936796,0.7086891009542943
0.37594521329718933,0.7207433450527373
0.3950634897988301,0.7348066298342542
0.3950634897988301,0.7353088900050226
0.41204166072192894,0.7493721747865394
0.41218433442716507,0.7493721747865394
0.41218433442716507,0.7498744349573079
0.43087458981309745,0.7634354595680563
0.43130261092880584,0.7634354595680563
0.45313168782993296,0.77850326469111
0.4532743615351691,0.77850326469111
0.47695819660436584,0.7925665494726268
0.5007847053787987,0.8046207935710699
0.501070052789271,0.8046207935710699
0.525181908974176,0.8196885986941236
0.5487230703381367,0.8317428427925665
0.5488657440433728,0.8317428427925665
0.5769724639748894,0.8437970868910095
0.5771151376801256,0.8437970868910095
0.601655014980739,0.856353591160221
0.6293337137965473,0.8704168759417378
0.6294763875017835,0.8704168759417378
0.6541589385076331,0.8849824208940231
0.6814096162077329,0.898041185334003
0.681552289912969,0.898041185334003
0.681552289912969,0.8985434455047715
0.7090883150235412,0.9090909090909091
0.7379084034812384,0.9226519337016574
0.7381937508917107,0.9226519337016574
0.7381937508917107,0.9231541938724259
0.7672991867598802,0.9326971371170266
0.7674418604651163,0.9326971371170266
0.7879868740191183,0.9377197388247112
0.7879868740191183,0.9382219989954796
0.8109573405621344,0.945253641386238
0.8362105863889285,0.9542943244600703
0.8580396632900557,0.9588146659969864
0.8581823369952918,0.9588146659969864
0.879012697959766,0.9668508287292817
0.9034099015551433,0.9779005524861878
0.9212441147096591,0.9844299347061778
0.9213867884148952,0.9844299347061778
0.9405050649165358,0.987945755901557
0.940647738621772,0.987945755901557
0.9561991724925096,0.9919638372677047
0.970323869310886,0.9949773982923155
0.9810243972035954,0.9969864389753893
0.9905835354544158,0.9984932194876946
0.9907262091596519,0.9984932194876946
0.9972891996005137,1.0
1.0,1.0
